id,name,geographical_features,associated_characters,associated_events,images
11,"灵山","是如来佛祖的所在地，是佛教圣地，庄严神圣，有众多的殿堂和修行场所。","如来佛祖、唐僧、孙悟空、猪八戒、沙僧等。","唐僧师徒历经九九八十一难后到达灵山，取得真经，最终修成正果。","云海之上的宏伟城堡式灵山建筑:https://p3-sdbk2-media.byteimg.com/tos-cn-i-xv4ileqgde/8c75b3b9925f4e2e92ac1d7c31d28cf7~tplv-xv4ileqgde-image.image;唐僧师徒与背景神仙佛像的灵山场景:https://p3-search.byteimg.com/obj/labis/359d39173524ce4865205a3ebd49b515;佛祖端坐莲花座的灵山画面:https://p3-search.byteimg.com/obj/labis/ab070d5e5f1e35afde9c56f22a59778f;中国四大名著卡通系列之《西游记》漫画书封面（参佛祖）:https://p3-search.byteimg.com/obj/labis/47591ec37f74787cf6a5a423c34caf96"
12,"雷音寺","分为大雷音寺和小雷音寺，是佛教圣地，建筑宏伟壮观，充满了佛教的神秘氛围。","如来佛祖、唐僧、孙悟空、猪八戒、沙僧等。","唐僧师徒到达雷音寺，拜见如来佛祖，求取真经。在小雷音寺，黄眉老佛假冒佛祖，将孙悟空等神仙斗得没有办法，后请弥勒佛帮忙才将其收服。","中式传统风格的雷音寺大门:https://p3-search.byteimg.com/obj/labis/3ec8c6a346772419a8ebb137088dc3ea;学汉语分级读物《西游记6：灵山雷音寺》封面:https://p3-search.byteimg.com/obj/labis/47498716f9a18b03975592e6048540ae;“学校版分级读物”之《西游记6：灵山雷音寺》封面图:https://p3-search.byteimg.com/obj/labis/83943f87e2db71bf19aa94f4703c4cff;‘学汉语分级读物’《西游记6：灵山雷音寺》封面:https://p3-search.byteimg.com/obj/labis/208d65bf54d6b36be78d21fe596b762c"
13,"幽冥界","入口标识可能存在变化，如孙悟空所见城门上镌刻着“幽冥界”三个字，唐太宗游历地府时目睹“幽冥地府鬼门关”的金色大字。幽冥界的管理者是地藏王菩萨，监督十位冥王。森罗殿是主要殿堂之一，十位冥王在此处理生死案件，森罗殿之后便是幽冥背阴山，阳光难以照射到这里，四周被黑雾笼罩，地势险恶，鬼怪潜伏其间，山上荆棘繁密，有奇怪的声音充斥耳边，环境极其阴森可怖。","地藏王菩萨、十殿阎王（秦广王、楚江王等）、孙悟空等。","孙悟空曾闯入幽冥界，查阅生死簿，把猴属名字从生死簿上勾销；唐太宗也曾游历地府，经历了一系列奇幻的事情。","《西游记》动画截图之幽冥界:https://p3-search.byteimg.com/obj/labis/05e5a32bd5eed1f4611e366985fae1ed;含英文及中文文字的幽冥界动画风格图片:https://p3-search.byteimg.com/obj/labis/7511c46300636d2b549e677c8c1c4afa;英文版《西游记》第7集幽冥界卡通画:https://p3-search.byteimg.com/obj/labis/5640051f68b66b171035830555e9b049;动画版孙悟空形象的幽冥界画面:https://p3-search.byteimg.com/obj/labis/2431632885e3dcadea5f86bbd04e221d"
14,"宝象国","书中未详细描述其地理特征，推测是一个有宫殿、城池的国家。","孙悟空、唐僧、猪八戒、沙僧、黄袍怪、百花羞公主等。","孙悟空三打白骨精之后被唐僧赶走，回了花果山，然后唐僧和其他两个徒弟到了宝象国境内，进入波月洞，被黄袍怪抓了去，但被黄袍怪的夫人百花羞公主解救。后来猪八戒和沙和尚无法救出唐僧，只好求救孙悟空。","《宝象国蒙冤》西游记故事绘本封面:https://p3-search.byteimg.com/obj/labis/4b29b3e07e0e36e7e81283ddc7123dd7;构图展现故事场景的宝象国封面图:https://p3-search.byteimg.com/obj/labis/ec13858adfe585a57d13273d28e735e4;以经典角色构图的宝象国图片:https://p3-search.byteimg.com/obj/labis/fc0404f7856d8effc11546dad4b1b936;古装人物合影的宝象国画面:https://p3-search.byteimg.com/obj/labis/17b7ab4b2320fd29441f8a1e6ab28410"
15,"乌鸡国","书中未详细描述其地理特征，推测是一个有一定规模的国家，有宫殿、街道等。","孙悟空、唐僧、猪八戒、沙僧、乌鸡国国王、青狮精等。","乌鸡国的国王被青狮精变成假国王推下井，真国王魂魄求救唐僧师徒，后来三个徒弟打败了假国王，换取了通关文牒。","观音菩萨与孙悟空等在乌鸡国的画面:https://p3-search.byteimg.com/obj/labis/0222e2fc1278266bfebf212698d69a08;中国四大名著卡通系列《西游记》“乌鸡国除妖魔”漫画书封面:https://p3-search.byteimg.com/obj/labis/fb18c4fac3c730c8a7ea024a6c08bc39;《西游记》电视系列连环画“除妖乌鸡国”封面:https://p3-search.byteimg.com/obj/labis/a0699a9eb7f127c287871926ed5a474d;中国古典名著卡通系列《西游记》“乌鸡国除妖魔”书籍封面:https://p3-search.byteimg.com/obj/labis/46035c4aac50d94d0a26f018e95ecba5"
16,"车迟国","书中未详细描述其地理特征，推测是一个有宗教氛围的国家，有道观、寺庙等建筑。","孙悟空、唐僧、猪八戒、沙僧、虎力大仙、鹿力大仙、羊力大仙等。","孙悟空与虎力大仙、鹿力大仙、羊力大仙斗法，包括坐禅、隔板猜物、砍头、剖腹、下油锅等，最终战胜了三位大仙，救了做苦工的和尚。","卡通风格的车迟国斗法插画:https://p3-sdbk2-media.byteimg.com/tos-cn-i-xv4ileqgde/c5e2ea2e5dee4623ac2d33a4150e6174~tplv-xv4ileqgde-image.image;卡通插画的车迟国斗法场景:https://p3-search.byteimg.com/obj/labis/7d55d2c7e6d471a1f59470141d546bd7;艺术风格的车迟国战斗场景:https://p3-search.byteimg.com/obj/labis/f8ed14aa978842ed00de05a7be807125;古装神话风格的车迟国场景:https://p3-search.byteimg.com/obj/labis/3e4f71a92ed8039f38dac221bf816d0b"
17,"祭赛国","书中未详细描述其地理特征，推测是一个有宝塔、城池的国家。","孙悟空、唐僧、猪八戒、沙僧、九头虫等。","九头虫偷走了祭赛国的国宝，小白龙对战前妻，孙悟空等人扫塔见妖怪，最终取回国宝，救出僧人。","绘有插画的《祭赛国》书籍封面:https://p3-search.byteimg.com/obj/labis/c69f5fd11a0000c522f4e52eee945955;两人在波涛中打斗的祭赛国画面:https://p3-sdbk2-media.byteimg.com/tos-cn-i-xv4ileqgde/32f10f8a764b460889473184b13686d3~tplv-xv4ileqgde-image.image;头戴华丽王冠的祭赛国男子:https://p3-sdbk2-media.byteimg.com/tos-cn-i-xv4ileqgde/56fb94aa1daf4e07b58c3301df71fecb~tplv-xv4ileqgde-image.image;传统绘画风格的《大闹石碣村》场景:https://p3-search.byteimg.com/obj/labis/46e54369569d7431f4ff8d4f0c37804f"
18,"朱紫国","书中未详细描述其地理特征，推测是一个有宫殿、街道的国家。","孙悟空、唐僧、猪八戒、沙僧、朱紫国国王、金圣娘娘、赛太岁等。","孙悟空给朱紫国国王行医治病，治好了国王的病，收服了赛太岁，救出了国王的爱妃金圣娘娘。","头戴装饰华丽帽子的朱紫国男子:https://p3-sdbk2-media.byteimg.com/tos-cn-i-xv4ileqgde/28fef04219704a24ac3a6459d4205918~tplv-xv4ileqgde-image.image;孙悟空和猪八戒围坐圆桌的朱紫国场景:https://p3-search.byteimg.com/obj/labis/ec3958d5ed42e510dddeb78df28115f2;卡通风格的朱紫国人物形象:https://p3-search.byteimg.com/obj/labis/f4fa80030e351aff2b9fbff481487dfc;两个卡通人物的朱紫国画面:https://p3-search.byteimg.com/obj/labis/aade3b72ae26d75780afe26ea38953dd"
19,"荆棘岭","书中未详细描述其地理特征，推测是一个树木茂密、充满神秘氛围的地方。","唐僧、孙悟空、猪八戒、沙僧、树精等。","唐僧师徒在荆棘岭遇到一群树精，和树精吟诗。","华丽神秘宫殿场景的荆棘岭:https://p3-search.byteimg.com/obj/labis/4a63e4c011623f3cf610d25e0d17d5f9;阳光透过树木的荆棘岭森林景象:https://p3-search.byteimg.com/obj/labis/ba2399398279f654bfa0cf3230507732;水墨背景含文字的荆棘岭画面:https://p3-search.byteimg.com/obj/labis/a317d73720bac6aa821ec467cecfe6be;三位头戴树枝绿叶头饰人物的荆棘岭形象:https://p3-search.byteimg.com/obj/labis/d4cf35c0b316a4b70c2a496981a2fe95"
20,"小雷音寺","书中未详细描述其独特的地理特征，推测是一个类似寺庙的建筑，外表看似雷音寺，但实际是黄眉老佛的地盘。","孙悟空、唐僧、猪八戒、沙僧、黄眉老佛等。","孙悟空等人在小雷音寺遇到黄眉老佛，黄眉老佛假冒佛祖，用金铙和后天袋子将孙悟空等神仙斗得没有办法，后请弥勒佛帮忙才将其收服。","小人书封面《西游记》之二十《小雷音寺》:https://p3-search.byteimg.com/obj/labis/07096cfb9056ab429247ec374f67d94c;绘本《西游记》故事《小雷音寺伏妖》封面:https://p3-search.byteimg.com/obj/labis/45e55394dbf6c26fcff05eda5ea7f209;绘本封面《小雷音寺伏妖》:https://p3-search.byteimg.com/obj/labis/604f3d9a514c87a8f49dcf9bafded993;书籍封面《小雷音寺伏妖》:https://p3-search.byteimg.com/obj/labis/d346af1e44f3c1c64e4462b28fd06ab6"
