难次,难名,主要人物,地点,事件描述,象征意义,文化内涵
32,黑河沉没,唐僧、孙悟空、鼍龙,黑水河,黑水河鼍龙抓唐僧西海龙王太子相助,求助于佛思想,龙族的神通威力
33,搬运车迟,孙悟空、车迟国国王,车迟国,车迟国王崇道灭佛悟空施法放走僧侣,正义感,佛道之争的体现
34,大赌输赢,孙悟空、虎力鹿力羊力大仙,车迟国,悟空与三大仙斗法获胜,神通比拼,佛教与道教竞争
35,祛道兴僧,孙悟空、车迟国国王,车迟国,国王见识悟空本领悟空教导三教归一,三教合一思想,宗教包容理念
36,路逢大水,唐僧、孙悟空、金鱼精,通天河,八百里通天河悟空八戒化身抓妖,正义感,保护百姓的责任
37,身落天河,唐僧、孙悟空、金鱼精,通天河,灵感大王冻住通天河诱唐僧落水,狡猾神通,邪恶的诡计多端
38,鱼篮现身,观音菩萨、金鱼精、老鼋,通天河,观音用鱼篮收金鱼精老鼋驮师徒过河,法力慈悲,佛教降魔威力
39,金兜山遇怪,唐僧、孙悟空、青牛精,金兜山,遇青牛精金刚琢套走金箍棒,法宝威力,道教法宝神奇
40,普天神难伏,孙悟空、青牛精,金兜山,悟空请来众神兵器均被套走,众神无奈,某些魔障的强大
41,问佛根源,如来佛祖、孙悟空、太上老君,金兜山,如来指点悟空寻太上老君收服坐骑,佛道关系,宗教间的协调
42,吃水遭毒,唐僧、孙悟空、如意真仙,女儿国,唐僧八戒误喝子母河水怀孕,奇特风俗,女性社会的想象
43,西梁国留婚,唐僧、女儿国女王,女儿国,女王倾慕唐僧欲招为夫唐僧不为所动,色即是空思想,修行者的定力
44,琵琶洞受苦,唐僧、孙悟空、蝎子精,毒敌山琵琶洞,蝎子精摄走唐僧昴日星君收服,降魔思想,星宿神通威力
45,再贬心猿,唐僧、孙悟空,杨老汉村庄,孙悟空打死强盗被唐僧再次赶走,冲动与固执,师徒关系的考验
46,难辨猕猴,孙悟空、六耳猕猴,无名山岭,六耳猕猴假扮悟空如来识破降服,真假难辨思想,辨别真伪的智慧
47,路阻火焰山,唐僧、孙悟空、铁扇公主,火焰山,火焰山酷热铁扇因红孩儿怨恨不肯借扇,险恶环境,怨恨的后果
48,求取芭蕉扇,孙悟空、铁扇公主,翠云山芭蕉洞,悟空偷入铁扇腹中化身牛魔王骗来真扇,机智与狡猾,智慧的较量
49,收缚魔王,孙悟空、牛魔王,积雷山摩云洞,牛魔王争斗天庭神将相助收服,降魔思想,正义终将胜利
50,赛城扫塔,唐僧、孙悟空、万圣龙王,祭赛国,金光寺众僧遭难佛宝舍利子被偷,贪婪后果,保护佛宝的重要性
51,取宝救僧,孙悟空、二郎神、九头虫,祭赛国,二郎神及眉山六圣相助打败九头虫取回佛宝,求助于佛思想,神仙协作精神
52,棘林吟咏,唐僧、猪八戒、杏仙等树精,荆棘岭木仙庵,树妖骗走唐僧杏仙欲成婚八戒耙倒众树,色即是空思想,文雅与鲁莽对比
53,小雷音遇难,唐僧、孙悟空、黄眉大王,小西天小雷音寺,黄眉大王抓住唐僧悟空被困金铙,法宝威力,二十八星宿神通
54,诸天神遭困,孙悟空、黄眉大王,小西天,众神被人种袋收走弥勒佛现身收服,降魔思想,弥勒佛法力
55,稀柿衕秽阻,孙悟空、猪八戒,七绝山稀柿衕,悟空入蛇妖腹除妖八戒拱干净稀柿衕,忍辱负重思想,克服恶劣环境
56,朱紫国行医,孙悟空、朱紫国国王,朱紫国,孙悟空揭皇榜为国王治病,医术神通,救死扶伤精神
57,拯救疲癃,孙悟空、朱紫国国王,朱紫国,悟空炼制乌金丸救治国王,神通感激,医者仁心
58,降妖取后,孙悟空、赛太岁、观音菩萨,麒麟山獬豸洞,孙悟空大战赛太岁观音收回坐骑救回王后,降魔思想,观音法力威严
59,七情迷没,唐僧、孙悟空、蜘蛛精,盘丝岭盘丝洞,唐僧化缘被七蜘蛛精迷惑抓住,狡猾与慈悲,七情六欲的考验
60,多目遭伤,孙悟空、蜈蚣精、毗蓝婆菩萨,黄花观,蜈蚣精毒害唐僧金光伤悟空双目,求助于佛思想,毗蓝婆神通
61,路阻狮驼,唐僧、孙悟空、狮驼岭三怪,八百里狮驼岭,狮驼岭三妖神通广大师徒被困,强大神通,团队面临重大考验
62,怪分三色,狮驼岭三怪,八百里狮驼岭,青狮凶猛白象稳重大鹏狡诈,三色特点,不同性格的魔障
63,城里遇灾,唐僧、孙悟空、狮驼岭三怪,狮驼国,三妖骗师徒入狮驼国活人被吃,恐怖凶残,邪恶统治的可怕
64,请佛收魔,如来佛祖、文殊普贤菩萨、狮驼岭三怪,狮驼国,如来收大鹏文殊普贤收坐骑,降魔思想,佛菩萨法力无边
65,比丘救子,孙悟空、比丘国国王,比丘国,国王欲以1111个小儿心肝为药引悟空救下孩子,昏庸与正义,保护儿童的责任
66,辨认真邪,孙悟空、白鹿精、南极老人星,比丘国,国王被妖怪所惑悟空降服白鹿精,辨认真邪思想,识别善恶的智慧
67,松林救怪,唐僧、老鼠精,黑松林,唐僧救下老鼠精变化的落难女子,狡猾与慈悲,慈悲心的考验
68,僧房卧病,唐僧、老鼠精,镇海禅林寺,唐僧生病住了3天禅林寺少了6个和尚,凶残不幸,色欲的危险
69,无底洞遭困,唐僧、孙悟空、老鼠精,陷空山无底洞,老鼠精抓唐僧欲洞房哪吒父子收服,降魔思想,哪吒父子神通
70,灭法国难行,孙悟空、灭法国国王,灭法国,灭法国王要杀万个和尚悟空剃光众人头发,放下屠刀立地成佛,宽恕与感化
71,隐雾山遇魔,唐僧、孙悟空、豹子精,隐雾山折岳连环洞,豹子精抓走唐僧用假人头骗悟空,辨认真假思想,识破诡计的智慧
72,凤仙郡求雨,孙悟空、凤仙郡郡侯,凤仙郡,凤仙郡连年干旱郡侯冒犯玉帝悟空让其认错,悔过自新思想,认错改过的重要性
73,失落兵器,孙悟空、黄狮精,玉华城,黄狮精偷走三人兵器,贪婪神通,保护法宝的重要性
74,会庆钉钯,孙悟空、黄狮精,豹头山虎口洞,黄狮精举办钉钯会悟空等大战夺回兵器,狡猾神通,正义夺回法宝
75,竹节山遭难,唐僧、孙悟空、九灵元圣,竹节山九曲盘桓洞,九灵元圣帮黄狮精捉走唐僧太乙救苦天尊收服,降魔思想,天尊神通威力
76,玄英洞受苦,唐僧、孙悟空、犀牛精,金平府,慈云寺赏花灯时三个犀牛精抓走唐僧,凶残神通,节庆中的危险
77,赶捉犀牛,孙悟空、犀牛精,青龙山玄英洞,太白金星指点悟空四木星君斩杀犀牛精,降魔思想,星君神通威力
78,天竺招婚,唐僧、孙悟空、玉兔精,天竺国,玉兔精假冒公主招唐僧为驸马嫦娥收走玉兔,降魔思想,嫦娥神通威严
79,铜台府监禁,唐僧、孙悟空、寇员外,铜台府地灵县,寇员外热情招待却被强盗杀害师徒被污为凶手,善恶有报思想,善良的不幸遭遇
80,凌云渡脱胎,唐僧、接引佛祖,灵山脚下,师徒来到灵山唐僧渡凌云渡脱胎换骨,脱胎换骨思想,修行成果的体现
81,通天河遇鼋湿经书,唐僧、孙悟空、老鼋,通天河,观音查看灾难簿发现只有八十难老鼋驮师徒过河时落水,圆满句号,因果循环的完成
